Job_name,Company,Region,Salary,Url
急聘心理学老师,上海赢帆信息技术有限公司,上海-普陀区,0.8-1万/月,https://jobs.51job.com/shanghai-ptq/106860232.html?s=01&t=0
心理学培训讲师,航帆培训,昆明-五华区,1-1.4万/月,https://jobs.51job.com/kunming-whq/109187046.html?s=01&t=0
心理学讲师,西安派勒特教育科技有限公司,西安-雁塔区,180元/天,https://jobs.51job.com/xian-ytq/117786183.html?s=01&t=0
心理学教师，心理咨询师,湘潭计算机职业技术学校,湘潭,3-4.5千/月,https://jobs.51job.com/xiangtan/116245977.html?s=01&t=0
自考心理学专业***教师,南京新知职业培训学校,南京,600元/天,https://jobs.51job.com/nanjing/84799883.html?s=01&t=0
心理学类专职讲师,深圳市龙华区心灵之家公益心理咨询...,深圳-龙华新区,4.5-6千/月,https://jobs.51job.com/shenzhen-lhxq/119726744.html?s=01&t=0
心理学专任教师,南宁师范大学师园学院,异地招聘,3-4.5千/月,https://jobs.51job.com/nanning/112227789.html?s=01&t=0
心理学讲师,湖南智浪教育咨询有限公司,长沙-芙蓉区,6-8千/月,https://jobs.51job.com/changsha-frq/99484533.html?s=01&t=0
教育学教师、心理学教师,四川文化传媒职业学院,异地招聘,3.5-6千/月,https://jobs.51job.com/sichuansheng/118159488.html?s=01&t=0
婚恋顾问（心理学知识免费学习）,深圳我主良缘信息科技有限公司广州...,广州-天河区,1-1.5万/月,https://jobs.51job.com/guangzhou-thq/116250331.html?s=01&t=0
心理学研发老师,自华文化传媒（三河）有限责任公司...,异地招聘,0.8-1.5万/月,https://jobs.51job.com/yanjiao/118470787.html?s=01&t=0
心理学老师,金色雨林合肥中心,合肥-政务区,4-6千/月,https://jobs.51job.com/hefei-zwq/109951806.html?s=01&t=0
教育学或心理学老师,安徽明尚教育咨询有限公司,合肥-庐阳区,6-8千/月,https://jobs.51job.com/hefei-lyq/116215554.html?s=01&t=0
早教老师/心理学老师（双休/中山公园）,上海赛依尔教育科技有限公司,上海-长宁区,0.5-1万/月,https://jobs.51job.com/shanghai-cnq/116809903.html?s=01&t=0
8K-15K心理学高端销售（双休+五险+高提成）,郑州誉业文化传播有限公司,异地招聘,0.8-1.5万/月,https://jobs.51job.com/shanghai/118111508.html?s=01&t=0
学前教育学心理学教师,昆明市官渡区育萃培训学校,昆明-五华区,1-1.5万/月,https://jobs.51job.com/kunming-whq/112130002.html?s=01&t=0
心理学实习生,上海北辰软件股份有限公司,上海-浦东新区,2-3千/月,https://jobs.51job.com/shanghai-pdxq/74993757.html?s=01&t=0
心理学专业家庭教师,广州智者先行网络科技有限公司,异地招聘,6-8千/月,https://jobs.51job.com/changsha-frq/119517753.html?s=01&t=0
心理学教师,深圳前海优职教育控股有限公司,梅州,4-8千/月,https://jobs.51job.com/meizhou/117094877.html?s=01&t=0
专注力老师（心理学优先）,成都中科多特教育咨询有限公司,成都,4.5-6千/月,https://jobs.51job.com/chengdu/94262383.html?s=01&t=0
中医心理学讲师,厦门伍易信息科技有限公司广州分公...,广州-天河区,1-2万/月,https://jobs.51job.com/guangzhou-thq/119052288.html?s=01&t=0
