Job_name,Company,Region,Salary,Job_Category,Welfare,Edu_require,Experience,Url
海城|高薪急聘快速阅读老师,海城市领航教育咨询有限公司,鞍山,3000-6000元/月,教师/助教,年底双薪,本科,不限,https://as.58.com/zhuanye/39512684960166x.shtml?psid=177481715207009128505594023&entinfo=39512684960166_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
湖南|舞蹈老师,辽宁枫树林文化艺术有限公司,鞍山,3000-6000元/月,舞蹈老师,"饭补,交通补助",中专,3-5年,https://as.58.com/zpjianshen/38884874395288x.shtml?psid=177481715207009128505594023&entinfo=38884874395288_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
海城|高薪急聘中小学物理老师,海城市领航教育咨询有限公司,鞍山,3000-6000元/月,教师/助教,年底双薪,本科,不限,https://as.58.com/zhuanye/39512673532805x.shtml?psid=177481715207009128505594023&entinfo=39512673532805_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
海城|高薪诚聘中小学语文老师,海城市领航教育咨询有限公司,鞍山,3000-6000元/月,教师/助教,年底双薪,本科,不限,https://as.58.com/zhuanye/39512667976468x.shtml?psid=177481715207009128505594023&entinfo=39512667976468_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
海城|高薪急聘中小学英语老师,海城市领航教育咨询有限公司,鞍山,3000-6000元/月,教师/助教,年底双薪,本科,不限,https://as.58.com/zhuanye/39512660483617x.shtml?psid=177481715207009128505594023&entinfo=39512660483617_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_177481715207009128505594023&tjfrom=pc_list_left_pt__177481715207009128505594023__117376393085681664__pt
胜利路|美发助理美发学员若干名,深圳市深修源健康科技有限公司,鞍山,2000-4000元/月,美容/美发,饭补,不限,不限,https://as.58.com/meirongjianshen/39770006604176x.shtml?tjfrom=pc_list_complement__177481715207009128505594023____&finalCp=0009001300000000000000000000_177481715207009128505594023&infoid=39770006604176&psid=177481715207009128505594023&entinfo=39770006604176_b&ytdzwdetaildj=0
胜利路|美发助理学徒,深圳市深修源健康科技有限公司,鞍山,2000-3000元/月,美容/美发,饭补,不限,不限,https://as.58.com/meirongjianshen/40003187312167x.shtml?tjfrom=pc_list_complement__177481715207009128505594023____&finalCp=0009001300000000000000000000_177481715207009128505594023&infoid=40003187312167&psid=177481715207009128505594023&entinfo=40003187312167_b&ytdzwdetaildj=0
海城|农场场长/种植基地经理,抚顺新隆嘉现代农业有限公司,鞍山,8000-10000元/月,农/林/牧/渔业,"包住,包吃",大专,6-7年,https://as.58.com/nonglinmuyu/40628630027144x.shtml?tjfrom=pc_list_complement__177481715207009128505594023____&finalCp=0009001300000000000000000000_177481715207009128505594023&infoid=40628630027144&psid=177481715207009128505594023&entinfo=40628630027144_b&ytdzwdetaildj=0
海城|迪达健身招聘会籍顾问,海城市海州区迪达健身会所,鞍山,4000-8000元/月,销售,"包住,饭补",不限,不限,https://as.58.com/yewu/40664971599256x.shtml?tjfrom=pc_list_complement__177481715207009128505594023____&finalCp=0009001300000000000000000000_177481715207009128505594023&infoid=40664971599256&psid=177481715207009128505594023&entinfo=40664971599256_b&ytdzwdetaildj=0
海城|化妆师,海城市响堂区光影儿童摄影中心,鞍山,3000-5000元/月,美容/美发,"饭补,加班补助",不限,不限,https://as.58.com/meirongjianshen/36162442453513x.shtml?tjfrom=pc_list_complement__177481715207009128505594023____&finalCp=0009001300000000000000000000_177481715207009128505594023&infoid=36162442453513&psid=177481715207009128505594023&entinfo=36162442453513_b&ytdzwdetaildj=0
